,insertion_timestamp,device_id,Soil moisture,device_name
92,2025-01-13T19:43:01.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
93,2025-01-13T19:43:02.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
94,2025-01-13T19:43:03.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
95,2025-01-13T19:43:04.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
96,2025-01-13T19:43:05.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
97,2025-01-13T19:43:06.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
98,2025-01-13T19:43:07.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
99,2025-01-13T19:43:08.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
100,2025-01-13T19:43:09.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
101,2025-01-13T19:43:10.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
102,2025-01-13T19:43:11.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
103,2025-01-13T19:43:12.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
104,2025-01-13T19:43:13.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
105,2025-01-13T19:43:14.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
106,2025-01-13T19:43:15.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
107,2025-01-13T19:43:16.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
108,2025-01-13T19:43:17.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
109,2025-01-13T19:43:18.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
110,2025-01-13T19:43:19.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
111,2025-01-13T19:43:20.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
112,2025-01-13T19:43:21.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
113,2025-01-13T19:43:22.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
114,2025-01-13T19:43:23.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
115,2025-01-13T19:43:24.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
116,2025-01-13T19:43:25.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
117,2025-01-13T19:43:26.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
118,2025-01-13T19:43:27.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
119,2025-01-13T19:43:28.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
120,2025-01-13T19:43:29.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
